"sku","title","br_price","category","Imageurl"
"SE3750","Sera Bio Nitrivec élőflóra - 250 ml","3679","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3750.jpg"
"SE3730","Sera Bio Nitrivec élőflóra - 50 ml","1679","Akvarisztika>Vízkezelés, vízkémia",""
"SE3810","Sera KH/pH-Plus vízkezelő - 100 ml","1979","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3810.jpg"
"SE3540","Sera pH/KH-Minus vízkezelő - 100 ml","1789","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3540.jpg"
"SE3390","Sera Phosvec Clear vízkezelő - 100 ml","1999","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3390jpg.jpg"
"SE3001","Sera Toxivec vízkezelő - 100 ml","1489","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3001.jpg"
"SE3240","Sera Florena növénytápsó - 100 ml","1699","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3240.jpg"
"SE3250","Sera Florena növénytápsó - 250 ml","3199","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3250.jpg"
"SE3215","Sera Florena növénytápsó - 50 ml","989","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3215.jpg"
"N406982","Neptun pH teszt akváriumhoz","489","Akvarisztika>Víztesztek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N406982.jpg"
"N406975","Neptun vízkeménység mérő készlet","689","Akvarisztika>Víztesztek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/N406975.jpg"
"JBL23023","JBL Algol algagátló - 250 ml","3489","Akvarisztika>Vízkezelés, vízkémia","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/JBL23023.jpg"
"(ISTA)I691","Ista CO2 indikátorfolyadék","1589","Akvarisztika>Víztesztek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(ISTA)I691.jpg"
"SE8476","Sera Siporax Mini szűrőanyag - 270 g","4655","Akvarisztika>Szűrőanyagok","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE8476.jpg"
"SE277","Sera Vipan Nature lemezes díszhaleleség - 100 ml","1070","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE277.jpg"
"SE281","Sera Vipan Nature lemezes díszhaleleség - 250 ml","2315","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE281.jpg"
"SE201","Sera Vipagran díszhaleleség - 100 ml","1310","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE201.jpg"
"SE202","Sera Vipagran díszhaleleség - 250 ml","2560","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE202.jpg"
"SE325","Sera Goldy díszhaleleség - 100 ml","870","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE325.jpg|https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE3250.jpg"
"SE331","Sera Goldy díszhaleleség - 250 ml","1815","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE331.jpg"
"SE291","Sera San lemezes díszhaleleség - 100 ml","1395","Akvarisztika>Haleleségek",""
"SE295","Sera San lemezes díszhaleleség - 250 ml","3155","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE295.jpg"
"SE392","Sera Granugreen díszhaleleség - 250 ml","2935","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE392.jpg"
"SE402","Sera Granured díszhaleleség - 250 ml","2935","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE402.jpg"
"SE514","Sera Vipachips tablettás díszhaleleség - 100 ml","1955","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE514.jpg"
"SE515","Sera Vipachips tablettás díszhaleleség - 250 ml","3655","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE515.jpg"
"SE510","Sera Wels-chips tablettás díszhaleleség - 100 ml","1765","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE510.jpg"
"SE511","Sera Wels-chips tablettás díszhaleleség - 250 ml","3505","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/SE511.jpg"
"(SE)01","Sera aljzattisztító (háromszög) 14cm","2960","Akvarisztika>Akvárium tisztítás","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)01.jpg"
"(SE)02","Sera aljzattisztító (kerek) 25cm","2960","Akvarisztika>Akvárium tisztítás","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)02.jpg"
"(SE)03","Sera Crabs Natural 100 ml","2265","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)03.jpg"
"(SE)04","Sera Goldy Color Spirulina - 100 ml","915","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)04.jpg"
"(SE)05","Sera Goldy Color Spirulina - 250 ml","1895","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)05.jpg"
"(SE)06","Sera Goldy Gran - 100 ml","915","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)06.jpg"
"(SE)07","Sera Goldy Gran - 250 ml","1895","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)07_v.jpg"
"(SE)08","Sera Koi Royal Medium - 1000 ml","2645","Akvarisztika>Tavi halak","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)08.jpg"
"(SE)09","Sera Koi Royal Mini - 1000 ml","2765","Akvarisztika>Tavi halak","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)09.jpg"
"(SE)10","Sera Pond Color Sticks - 1000 ml","1940","Akvarisztika>Tavi halak","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)10.jpg"
"(SE)11","Sera Pond Granulat - 1000 ml","1930","Akvarisztika>Tavi halak","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)11.jpg"
"(SE)12","Sera Shrimps Natural - 100 ml","2265","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)12.jpg"
"(SE)13","Sera Vipagran Baby - 100 ml","2480","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)13.jpg"
"(SE)14","Sera Flora Nature - 100 ml","1300","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)14.jpg"
"(SE)15","Sera Flora Nature - 250 ml","2605","Akvarisztika>Haleleségek","https://github.com/totapp91/KisallatAkvarisztika/raw/master/images/(SE)15.jpg"
